iter	Passed	Remaining
0	32	7150
1	62	6756
2	94	6780
3	128	6916
4	165	7067
5	200	7112
6	235	7124
7	269	7117
8	305	7137
9	340	7118
10	363	6881
11	398	6877
12	414	6564
13	454	6648
14	486	6619
15	528	6706
16	563	6698
17	601	6713
18	634	6674
19	658	6554
20	692	6527
21	728	6519
22	765	6524
23	802	6519
24	836	6490
25	872	6475
26	908	6463
27	948	6472
28	983	6444
29	1020	6428
30	1054	6393
31	1091	6377
32	1130	6369
33	1164	6335
34	1200	6308
35	1236	6283
36	1269	6244
37	1304	6215
38	1339	6182
39	1381	6181
40	1416	6148
41	1450	6114
42	1484	6077
43	1520	6045
44	1554	6009
45	1599	6014
46	1633	5977
47	1667	5940
48	1701	5901
49	1735	5867
50	1773	5842
51	1815	5829
52	1849	5794
53	1885	5762
54	1920	5725
55	1956	5694
56	1991	5659
57	2026	5624
58	2059	5585
59	2096	5554
60	2107	5458
61	2140	5420
62	2177	5391
63	2218	5373
64	2231	5286
65	2254	5225
66	2287	5189
67	2324	5160
68	2360	5131
69	2395	5099
70	2429	5065
71	2464	5031
72	2498	4996
73	2534	4966
74	2581	4956
75	2608	4908
76	2651	4889
77	2705	4890
78	2746	4866
79	2792	4852
80	2829	4820
81	2863	4783
82	2897	4747
83	2930	4709
84	2964	4673
85	2998	4637
86	3033	4602
87	3075	4578
88	3109	4541
89	3144	4507
90	3181	4474
91	3216	4440
92	3250	4403
93	3284	4367
94	3318	4331
95	3355	4298
96	3394	4268
97	3437	4243
98	3466	4202
99	3506	4173
100	3542	4139
101	3578	4104
102	3610	4066
103	3654	4041
104	3688	4004
105	3723	3969
106	3759	3934
107	3797	3903
108	3833	3868
109	3868	3833
110	3905	3799
111	3943	3767
112	3978	3732
113	3996	3681
114	4030	3644
115	4065	3610
116	4102	3576
117	4137	3541
118	4171	3505
119	4206	3470
120	4240	3434
121	4274	3398
122	4308	3362
123	4349	3332
124	4384	3297
125	4419	3262
126	4457	3228
127	4492	3193
128	4526	3158
129	4563	3124
130	4597	3088
131	4631	3052
132	4668	3018
133	4703	2983
134	4739	2949
135	4783	2919
136	4816	2883
137	4851	2847
138	4868	2802
139	4903	2767
140	4938	2732
141	4974	2697
142	5010	2663
143	5046	2628
144	5081	2593
145	5113	2556
146	5149	2522
147	5190	2490
148	5224	2454
149	5259	2419
150	5293	2383
151	5329	2349
152	5366	2315
153	5400	2279
154	5435	2244
155	5469	2208
156	5503	2173
157	5537	2137
158	5574	2103
159	5614	2070
160	5652	2036
161	5685	2000
162	5720	1965
163	5756	1930
164	5791	1895
165	5825	1859
166	5858	1824
167	5890	1788
168	5924	1752
169	5961	1718
170	5995	1682
171	6035	1649
172	6070	1614
173	6103	1578
174	6139	1543
175	6173	1508
176	6208	1473
177	6242	1437
178	6275	1402
179	6310	1367
180	6346	1332
181	6381	1297
182	6418	1262
183	6456	1228
184	6494	1193
185	6529	1158
186	6566	1123
187	6599	1088
188	6635	1053
189	6670	1018
190	6704	982
191	6738	947
192	6756	910
193	6793	875
194	6826	840
195	6861	805
196	6900	770
197	6937	735
198	6975	701
199	7010	666
200	7047	631
201	7082	596
202	7116	560
203	7152	525
204	7186	490
205	7220	455
206	7253	420
207	7269	384
208	7309	349
209	7328	314
210	7363	279
211	7399	244
212	7434	209
213	7470	174
214	7504	139
215	7542	104
216	7577	69
217	7612	34
218	7646	0
